"str_language_name"	"English"

"str_startmenu_begin"	"[scale,2]Begin"
"str_startmenu_settings"	"[scale,2]Settings"
"str_startmenu_achieve"	"[scale,2]Achievements"
"str_startmenu_credits"	"[scale,2]Credits"

"str_menu_settings"	"Settings"
"str_settings_on"	"On"
"str_settings_off"	"Off"
"str_settings_none"	"None"
"str_settings_n/a"	"{color `red`}N/A"
"str_settings_gjerror"	"Last connection failed"
"str_settings_gj_connected"	"Connected to "
"str_settings_season_spring"	"{color `gray`}{scale 2}{instant true}{font 1}spring time&back to school."
"str_settings_season_summer"	"{color `gray`}{scale 2}{instant true}{font 1}try to withstand&the sun's&life-giving rays."
"str_settings_season_autumn"	"{color `gray`}{scale 2}{instant true}{font 1}sweep a leaf,&sweep away a troubles."
"str_settings_season_winter"	"{color `gray`}{scale 2}{instant true}{font 1}cold outside&but stay warm&inside of you."
"str_settings_language"	"Language"
"str_settings_language_locked"	"Language (Locked)"
"str_settings_window_size"	"Window Size"
"str_settings_fullscreen"	"Fullscreen"
"str_settings_gamejolt"	"Connect to Gamejolt"
"str_settings_volume"	"Volume"
"str_settings_border"	"Border"
"str_settings_save_back"	"Save \\& Back"
"str_border_simple"	"Simple"

"str_gamejolt_hint"	"[scale,2]Ctrl+V to paste\nEnter to continue\nAlt to return"
"str_gamejolt_username"	"[scale,2]Please input your Gamejolt User Name."
"str_gamejolt_token"	"[scale,2]Please input your Game Token.\n(Not your password!!)"
"str_gamejolt_wait"	"[scale,2]Please wait..."
"str_gamejolt_success"	"[scale,2]Connect Success!\nYou have connected to "
"str_gamejolt_success1"	"!\nPress Enter to return"
"str_gamejolt_failed"	"[scale,2]Connect Failed!\nPlease check the network status and\nthe correct of User Name and Token!\nPress Enter to return"
