"str_language_name"	"简体中文"

"str_startmenu_begin"	"开始"
"str_startmenu_settings"	"设置"
"str_startmenu_achieve"	"成就"
"str_startmenu_credits"	"名单"

"str_menu_settings"	"设置"
"str_settings_on"	"开"
"str_settings_off"	"关"
"str_settings_none"	"无"
"str_settings_n/a"	"{color `red`}不可用"
"str_settings_gjerror"	"最近一次连接失败"
"str_settings_gj_connected"	"[scale,1][font_simsun]已连接到[font_dialog]"
"str_settings_season_spring"	"{color `gray`}{scale 2}{instant true}{font 1}春天来了&该上学了"
"str_settings_season_summer"	"{color `gray`}{scale 2}{instant true}{font 1}我想像那&太阳一样&散发光芒"
"str_settings_season_autumn"	"{color `gray`}{scale 2}{instant true}{font 1}扫走一片树叶&扫走一片烦恼"
"str_settings_season_winter"	"{color `gray`}{scale 2}{instant true}{font 1}外面虽冷&但你内心&仍存温暖"
"str_settings_language"	"语言"
"str_settings_language_locked"	"语言 (已锁定)"
"str_settings_window_size"	"窗口大小"
"str_settings_fullscreen"	"全屏"
"str_settings_gamejolt"	"连接到Gamejolt"
"str_settings_volume"	"音量"
"str_settings_border"	"边框"
"str_settings_save_back"	"保存并返回"
"str_border_simple"	"简单"

"str_gamejolt_hint"	"[scale,2][font_dialog]Ctrl+V[font_simsun] 来粘贴\n[font_dialog]Enter[font_simsun] 来继续\n[font_dialog]Alt[font_simsun] 来返回"
"str_gamejolt_username"	"[scale,2][font_simsun]请输入你的[font_dialog]Gamejolt[font_simsun]用户名。"
"str_gamejolt_token"	"[scale,2][font_simsun]请输入你的[font_dialog]Game Token[font_simsun]。\n[font_dialog]([font_simsun]不是你的密码[font_dialog]!!)"
"str_gamejolt_wait"	"[scale,2][font_simsun]请稍后..."
"str_gamejolt_success"	"[scale,2][font_simsun]连接成功[font_dialog]![font_simsun]\n你已成功连接到[font_dialog]"
"str_gamejolt_success1"	"![font_simsun]\n按下 [font_dialog]Enter[font_simsun] 返回"
"str_gamejolt_failed"	"[scale,2][font_simsun]连接失败[font_dialog]![font_simsun]\n请检查网络状况以及\n用户名和[font_dialog]Token[font_simsun]的正确性[font_dialog]![font_simsun]\n按下 [font_dialog]Enter[font_simsun] 返回"
